NIE,est_nomb_sexo,opcion_nombre,gra_nombre,sede_codigo,sede_nombre,sede_nomb_depto,sede_nomb_mun,sede_sector,sede_zona,realista,cientifico,artistico,social,emprendedor,oficina,LUGAR1,LUGAR2,LUGAR3,LUGAR4,LUGAR5,LUGAR6,codigo_ocupacional,Grupo_Ocupacional_1,Grupo_Ocupacional_2,Grupo_Ocupacional_3,Grupo_Ocupacional_4,secc_codigo
19800449,Mujer,MANTENIMIENTO AUTOMOTRIZ,SEGUNDO AÑO,11543,INSTITUTO  NACIONAL TECNICO INDUSTRIAL,SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,21,11,26,24,20,24,Artístico,Social,Oficina,Realista,Emprendedor,Científico,Artístico-Social,Artísticos,Educación y Cultura,Humanidades y Ciencias Sociales,Servicios Sociales,E
4234679,Mujer,SERVICIOS TURÍSTICOS.,SEGUNDO AÑO,11532,"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZÁN""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,7,8,24,18,26,19,Emprendedor,Artístico,Oficina,Social,Científico,Realista,Emprendedor-Artístico,Comercial,Artísticos,Educación y Cultura,Servicios Sociales,A
19998953,Mujer,---,SEGUNDO AÑO,11532,"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZÁN""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,5,10,11,21,33,15,Emprendedor,Social,Oficina,Artístico,Científico,Realista,Emprendedor-Social,Comercial,Humanidades y Ciencias Sociales,Servicios Sociales,Educación y Cultura,D
19766184,Mujer,SERVICIOS TURÍSTICOS.,SEGUNDO AÑO,21468,"INSTITUTO CATÓLICO ""PADRE RICHARD MANGINI""",SAN SALVADOR,SOYAPANGO,CED_PRI,Urbana,24,24,32,33,29,26,Social,Artístico,Emprendedor,Oficina,Realista,Científico,Social-Artístico,Servicios Sociales,Educación y Cultura,Artísticos,Humanidades y Ciencias Sociales,A
5012806,Mujer,---,SEGUNDO AÑO,11532,"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZÁN""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,6,13,22,30,30,14,Social,Emprendedor,Artístico,Oficina,Científico,Realista,Social-Emprendedor,Servicios Sociales,Comercial,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,D
3070771,Mujer,SERVICIOS TURÍSTICOS.,SEGUNDO AÑO,11532,"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZÁN""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,13,8,26,25,26,31,Oficina,Artístico,Emprendedor,Social,Realista,Científico,Oficina-Artístico,"Soporte administrativo, trabajo de oficina",Artísticos,Humanidades y Ciencias Sociales,---,B
3250742,Mujer,---,SEGUNDO AÑO,11532,"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZÁN""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,11,10,18,9,18,13,Artístico,Emprendedor,Oficina,Realista,Científico,Social,Artístico-Emprendedor,Artísticos,Comercial,Servicios Sociales,Humanidades y Ciencias Sociales,D
19867898,Mujer,---,SEGUNDO AÑO,11420,"INSTITUTO NACIONAL ""MAESTRO ALBERTO MASFERRER """,SAN SALVADOR,MEJICANOS,CED_OFI,Urbana,8,9,19,20,12,11,Social,Artístico,Emprendedor,Oficina,Científico,Realista,Social-Artístico,Servicios Sociales,Educación y Cultura,Artísticos,Humanidades y Ciencias Sociales,C
19921185,Mujer,SERVICIOS TURÍSTICOS.,SEGUNDO AÑO,11532,"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZÁN""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,6,9,9,7,9,10,Oficina,Científico,Artístico,Emprendedor,Social,Realista,Oficina-Científico,"Soporte administrativo, trabajo de oficina",Ciencia de Naturaleza y Matemáticas,Técnicos Tecnológicos,Comercial,A
5034293,Mujer,DESARROLLO DE SOFTWARE,SEGUNDO AÑO,11540,"INSTITUTO NACIONAL ""GENERAL FRANCISCO MENÉNDEZ """,SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,11,15,22,20,14,19,Artístico,Social,Oficina,Científico,Emprendedor,Realista,Artístico-Social,Artísticos,Educación y Cultura,Humanidades y Ciencias Sociales,Servicios Sociales,A
6300577,Mujer,---,SEGUNDO AÑO,11532,"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZÁN""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,14,10,10,12,10,14,Realista,Oficina,Social,Científico,Artístico,Emprendedor,Realista-Oficina,Oficio ,"Soporte administrativo, trabajo de oficina",Transporte,Educación Fisica y Deporte,D
5827187,Mujer,---,SEGUNDO AÑO,11532,"CENTRO ESCOLAR ""GENERAL FRANCISCO MORAZÁN""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,7,14,12,30,18,22,Social,Oficina,Emprendedor,Científico,Artístico,Realista,Social-Oficina,Servicios Sociales,"Soporte administrativo, trabajo de oficina",Cuerpos de Seguridad y servicios de protección,Humanidades y Ciencias Sociales,D
6049836,Mujer,---,SEGUNDO AÑO,11420,"INSTITUTO NACIONAL ""MAESTRO ALBERTO MASFERRER """,SAN SALVADOR,MEJICANOS,CED_OFI,Urbana,16,4,23,17,15,18,Artístico,Oficina,Social,Realista,Emprendedor,Científico,Artístico-Oficina,Artísticos,"Soporte administrativo, trabajo de oficina",Educación y Cultura,---,C
20159799,Mujer,---,SEGUNDO AÑO,11422,"COMPLEJO EDUCATIVO "" REPÚBLICA ORIENTAL DEL URUGUAY""",SAN SALVADOR,MEJICANOS,CED_OFI,Urbana,5,9,11,11,3,15,Oficina,Artístico,Social,Científico,Realista,Emprendedor,Oficina-Artístico,"Soporte administrativo, trabajo de oficina",Artísticos,Humanidades y Ciencias Sociales,---,A
6797919,Mujer,SALUD Y BIENESTAR SOCIAL.,SEGUNDO AÑO,11330,"INSTITUTO NACIONAL ""DE APOPA""",SAN SALVADOR,APOPA,CED_OFI,Urbana,12,21,23,21,22,23,Artístico,Oficina,Emprendedor,Científico,Social,Realista,Artístico-Oficina,Artísticos,"Soporte administrativo, trabajo de oficina",Educación y Cultura,---,F
6656892,Mujer,---,SEGUNDO AÑO,11540,"INSTITUTO NACIONAL ""GENERAL FRANCISCO MENÉNDEZ """,SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,9,3,5,6,14,15,Oficina,Emprendedor,Realista,Social,Artístico,Científico,Oficina-Emprendedor,"Soporte administrativo, trabajo de oficina",Comercial,Servicios Sociales,Educación y Cultura,E
4114407,Mujer,---,SEGUNDO AÑO,20506,LICEO DAVID J. GUZMAN,SAN SALVADOR,SAN SALVADOR,CED_PRI,Urbana,17,16,19,23,22,34,Oficina,Social,Emprendedor,Artístico,Realista,Científico,Oficina-Social,"Soporte administrativo, trabajo de oficina",Servicios Sociales,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,A
10817095,Mujer,---,SEGUNDO AÑO,11133,"CENTRO ESCOLAR ""DANIEL HERNANDEZ""",LA LIBERTAD,SANTA TECLA,CED_OFI,Urbana,6,10,15,18,18,18,Social,Emprendedor,Oficina,Artístico,Científico,Realista,Social-Emprendedor,Servicios Sociales,Comercial,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,C
19859322,Mujer,---,SEGUNDO AÑO,88031,"CENTRO ESCOLAR CATOLICO ""ALBERTO MASFERRER""",LA LIBERTAD,SANTA TECLA,CED_PRI,Urbana,18,16,18,24,21,16,Social,Emprendedor,Realista,Artístico,Científico,Oficina,Social-Emprendedor,Servicios Sociales,Comercial,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,F
19859339,Mujer,---,SEGUNDO AÑO,88031,"CENTRO ESCOLAR CATOLICO ""ALBERTO MASFERRER""",LA LIBERTAD,SANTA TECLA,CED_PRI,Urbana,5,6,12,8,13,11,Emprendedor,Artístico,Oficina,Social,Científico,Realista,Emprendedor-Artístico,Comercial,Artísticos,Educación y Cultura,Servicios Sociales,G
19815627,Hombre,---,SEGUNDO AÑO,88031,"CENTRO ESCOLAR CATOLICO ""ALBERTO MASFERRER""",LA LIBERTAD,SANTA TECLA,CED_PRI,Urbana,10,10,24,17,20,14,Artístico,Emprendedor,Social,Oficina,Realista,Científico,Artístico-Emprendedor,Artísticos,Comercial,Servicios Sociales,Humanidades y Ciencias Sociales,F
10900848,Mujer,---,SEGUNDO AÑO,20550,"LICEO ""GETSEMANI""",SAN SALVADOR,SAN SALVADOR,CED_PRI,Urbana,6,10,15,14,11,10,Artístico,Social,Emprendedor,Científico,Oficina,Realista,Artístico-Social,Artísticos,Educación y Cultura,Humanidades y Ciencias Sociales,Servicios Sociales,A
10900873,Mujer,---,SEGUNDO AÑO,20550,"LICEO ""GETSEMANI""",SAN SALVADOR,SAN SALVADOR,CED_PRI,Urbana,5,5,11,6,7,8,Artístico,Oficina,Emprendedor,Social,Realista,Científico,Artístico-Oficina,Artísticos,"Soporte administrativo, trabajo de oficina",Educación y Cultura,---,A
19859347,Mujer,---,SEGUNDO AÑO,88031,"CENTRO ESCOLAR CATOLICO ""ALBERTO MASFERRER""",LA LIBERTAD,SANTA TECLA,CED_PRI,Urbana,16,22,12,21,18,26,Oficina,Científico,Social,Emprendedor,Realista,Artístico,Oficina-Científico,"Soporte administrativo, trabajo de oficina",Ciencia de Naturaleza y Matemáticas,Técnicos Tecnológicos,Comercial,F
19859357,Mujer,---,SEGUNDO AÑO,20229,COLEGIO NAZARETH,LA LIBERTAD,SANTA TECLA,CED_PRI,Urbana,17,18,31,33,25,21,Social,Artístico,Emprendedor,Oficina,Científico,Realista,Social-Artístico,Servicios Sociales,Educación y Cultura,Artísticos,Humanidades y Ciencias Sociales,B
4702928,Mujer,---,SEGUNDO AÑO,20226,COLEGIO HISPANOAMERICA,LA LIBERTAD,SANTA TECLA,CED_PRI,Urbana,16,11,27,20,14,18,Artístico,Social,Oficina,Realista,Emprendedor,Científico,Artístico-Social,Artísticos,Educación y Cultura,Humanidades y Ciencias Sociales,Servicios Sociales,A
6798903,Mujer,---,SEGUNDO AÑO,10095,"COMPLEJO EDUCATIVO ""ANTONIO J. ALFARO""",AHUACHAPAN,CONCEPCION DE ATACO,CED_OFI,Urbana,20,25,22,27,26,32,Oficina,Social,Emprendedor,Científico,Artístico,Realista,Oficina-Social,"Soporte administrativo, trabajo de oficina",Servicios Sociales,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,A
656004,Mujer,---,SEGUNDO AÑO,10491,"COMPLEJO EDUCATIVO ""CAPITAN GENERAL GERARDO BARRIOS""",SANTA ANA,SANTA ANA,CED_OFI,Urbana,8,11,17,30,26,20,Social,Emprendedor,Oficina,Artístico,Científico,Realista,Social-Emprendedor,Servicios Sociales,Comercial,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,F
2198935,Hombre,---,SEGUNDO AÑO,90039,"CENTRO ESCOLAR NOCTURNO ""SOLDADOS PARA LA PAZ""",SANTA ANA,SANTA ANA,CED_OFI,Urbana,22,22,28,21,24,19,Artístico,Emprendedor,Realista,Científico,Social,Oficina,Artístico-Emprendedor,Artísticos,Comercial,Servicios Sociales,Humanidades y Ciencias Sociales,A
2563421,Mujer,---,SEGUNDO AÑO,11008,"COMPLEJO EDUCATIVO ""CANTÓN LA REFORMA""",LA LIBERTAD,CIUDAD ARCE,CED_OFI,Rural,17,11,8,24,12,14,Social,Realista,Oficina,Emprendedor,Científico,Artístico,Social-Realista,Servicios Sociales,Oficio ,Educación y Cultura,---,A
19930702,Hombre,---,SEGUNDO AÑO,10369,"CENTRO ESCOLAR ""RODRIGO J. LEIVA""",SANTA ANA,METAPAN,CED_OFI,Urbana,13,13,13,22,13,17,Social,Oficina,Realista,Científico,Artístico,Emprendedor,Social-Oficina,Servicios Sociales,"Soporte administrativo, trabajo de oficina",Cuerpos de Seguridad y servicios de protección,Humanidades y Ciencias Sociales,A
6657950,Mujer,---,SEGUNDO AÑO,14753,"INSTITUTO NACIONAL ""TEXISTEPEQUE""",SANTA ANA,TEXISTEPEQUE,CED_OFI,Urbana,11,7,10,10,8,9,Realista,Artístico,Social,Oficina,Emprendedor,Científico,Realista-Artístico,"Agropecuarios, pesca y mineria",Artísticos,Oficio ,Educación Fisica y Deporte,A
2634105,Mujer,---,SEGUNDO AÑO,10736,"COMPLEJO EDUCATIVO ""DOLORES DE BRITO""",SONSONATE,SONSONATE,CED_OFI,Urbana,25,30,25,31,24,27,Social,Científico,Oficina,Realista,Artístico,Emprendedor,Social-Científico,Servicios Sociales,Ciencia de Salud,Ciencia de Naturaleza y Matemáticas,Educación y Cultura,C
5484952,Mujer,---,SEGUNDO AÑO,10716,"INSTITUTO NACIONAL ""THOMAS JEFFERSON """,SONSONATE,SONSONATE,CED_OFI,Urbana,6,10,10,18,27,22,Emprendedor,Oficina,Social,Científico,Artístico,Realista,Emprendedor-Oficina,Comercial,"Soporte administrativo, trabajo de oficina",Servicios Sociales,Educación y Cultura,C
5454656,Mujer,---,SEGUNDO AÑO,10658,"COMPLEJO EDUCATIVO ""FRAY BARTOLOME DE LAS CASAS""",SONSONATE,JUAYUA,CED_OFI,Urbana,21,21,22,22,22,20,Artístico,Social,Emprendedor,Realista,Científico,Oficina,Artístico-Social,Artísticos,Educación y Cultura,Humanidades y Ciencias Sociales,Servicios Sociales,B
6371361,Hombre,---,SEGUNDO AÑO,10715,"CENTRO ESCOLAR  ""CORONEL RICARDO ARANGO MACAY """,SONSONATE,SONSONATE,CED_OFI,Urbana,33,25,31,18,24,19,Realista,Artístico,Científico,Emprendedor,Oficina,Social,Realista-Artístico,"Agropecuarios, pesca y mineria",Artísticos,Oficio ,Educación Fisica y Deporte,B
810866,Mujer,---,SEGUNDO AÑO,10736,"COMPLEJO EDUCATIVO ""DOLORES DE BRITO""",SONSONATE,SONSONATE,CED_OFI,Urbana,19,17,21,15,14,14,Artístico,Realista,Científico,Social,Emprendedor,Oficina,Artístico-Realista,Artísticos,"Agropecuarios, pesca y mineria",Oficio ,Educación Fisica y Deporte,C
1406618,Mujer,---,SEGUNDO AÑO,10736,"COMPLEJO EDUCATIVO ""DOLORES DE BRITO""",SONSONATE,SONSONATE,CED_OFI,Urbana,18,20,16,23,18,19,Social,Científico,Oficina,Realista,Emprendedor,Artístico,Social-Científico,Servicios Sociales,Ciencia de Salud,Ciencia de Naturaleza y Matemáticas,Educación y Cultura,C
2475552,Hombre,---,SEGUNDO AÑO,10658,"COMPLEJO EDUCATIVO ""FRAY BARTOLOME DE LAS CASAS""",SONSONATE,JUAYUA,CED_OFI,Urbana,17,12,18,22,33,21,Emprendedor,Social,Oficina,Artístico,Realista,Científico,Emprendedor-Social,Comercial,Humanidades y Ciencias Sociales,Servicios Sociales,Educación y Cultura,A
19797654,Mujer,---,SEGUNDO AÑO,10716,"INSTITUTO NACIONAL ""THOMAS JEFFERSON """,SONSONATE,SONSONATE,CED_OFI,Urbana,9,14,15,21,21,14,Social,Emprendedor,Artístico,Científico,Oficina,Realista,Social-Emprendedor,Servicios Sociales,Comercial,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,A
6863387,Hombre,ADMINISTRATIVO CONTABLE,SEGUNDO AÑO,10596,"COMPLEJO EDUCATIVO  ""CRISTÓBAL IBARRA MEJICANOS""",SONSONATE,CUISNAHUAT,CED_OFI,Urbana,15,16,16,13,16,20,Oficina,Científico,Artístico,Emprendedor,Realista,Social,Oficina-Científico,"Soporte administrativo, trabajo de oficina",Ciencia de Naturaleza y Matemáticas,Técnicos Tecnológicos,Comercial,A
422880,Mujer,---,SEGUNDO AÑO,10658,"COMPLEJO EDUCATIVO ""FRAY BARTOLOME DE LAS CASAS""",SONSONATE,JUAYUA,CED_OFI,Urbana,24,28,21,31,28,33,Oficina,Social,Científico,Emprendedor,Realista,Artístico,Oficina-Social,"Soporte administrativo, trabajo de oficina",Servicios Sociales,Humanidades y Ciencias Sociales,Cuerpos de Seguridad y servicios de protección,A
765605,Hombre,---,SEGUNDO AÑO,10095,"COMPLEJO EDUCATIVO ""ANTONIO J. ALFARO""",AHUACHAPAN,CONCEPCION DE ATACO,CED_OFI,Urbana,24,19,27,30,31,24,Emprendedor,Social,Artístico,Realista,Oficina,Científico,Emprendedor-Social,Comercial,Humanidades y Ciencias Sociales,Servicios Sociales,Educación y Cultura,B
2635314,Mujer,---,SEGUNDO AÑO,11420,"INSTITUTO NACIONAL ""MAESTRO ALBERTO MASFERRER """,SAN SALVADOR,MEJICANOS,CED_OFI,Urbana,23,30,25,31,21,29,Social,Científico,Oficina,Artístico,Realista,Emprendedor,Social-Científico,Servicios Sociales,Ciencia de Salud,Ciencia de Naturaleza y Matemáticas,Educación y Cultura,B
1907995,Mujer,---,SEGUNDO AÑO,10053,"INSTITUTO NACIONAL ""LUIS REYNALDO TOBAR""",AHUACHAPAN,AHUACHAPAN,CED_OFI,Rural,12,16,20,18,20,20,Artístico,Emprendedor,Oficina,Social,Científico,Realista,Artístico-Emprendedor,Artísticos,Comercial,Servicios Sociales,Humanidades y Ciencias Sociales,A
7299135,Hombre,---,SEGUNDO AÑO,88184,"COMPLEJO EDUCATIVO CATÓLICO ""DOCTORA MARÍA JULIA HERNÁNDEZ""",LA LIBERTAD,QUEZALTEPEQUE,CED_PRI,Urbana,21,26,16,21,34,27,Emprendedor,Oficina,Científico,Realista,Social,Artístico,Emprendedor-Oficina,Comercial,"Soporte administrativo, trabajo de oficina",Servicios Sociales,Educación y Cultura,C
19876128,Mujer,---,SEGUNDO AÑO,11254,"INSTITUTO NACIONAL "" DE SAN PABLO TACACHICO """,LA LIBERTAD,SAN PABLO TACACHICO,CED_OFI,Urbana,23,22,24,27,26,27,Social,Oficina,Emprendedor,Artístico,Realista,Científico,Social-Oficina,Servicios Sociales,"Soporte administrativo, trabajo de oficina",Cuerpos de Seguridad y servicios de protección,Humanidades y Ciencias Sociales,B
10275625,Mujer,---,SEGUNDO AÑO,20226,COLEGIO HISPANOAMERICA,LA LIBERTAD,SANTA TECLA,CED_PRI,Urbana,17,21,15,24,28,14,Emprendedor,Social,Científico,Realista,Artístico,Oficina,Emprendedor-Social,Comercial,Humanidades y Ciencias Sociales,Servicios Sociales,Educación y Cultura,B
6369043,Mujer,---,SEGUNDO AÑO,E0192,INSTITUTO NACIONAL DE MODALIDADES EDUCATIVAS ALTERNAS,LA LIBERTAD,COLON,UBI_EDUC,Urbana,20,35,29,33,29,32,Científico,Social,Oficina,Artístico,Emprendedor,Realista,Científico-Social,Ciencia de Salud,Ciencia de Naturaleza y Matemáticas,Humanidades y Ciencias Sociales,Educación y Cultura,B
116135,Hombre,---,SEGUNDO AÑO,14812,"COMPLEJO EDUCATIVO ""CIUDAD FUTURA""",SAN SALVADOR,CUSCATANCINGO,CED_OFI,Urbana,22,21,22,26,20,21,Social,Realista,Artístico,Científico,Oficina,Emprendedor,Social-Realista,Servicios Sociales,Oficio ,Educación y Cultura,---,B
6472597,Hombre,---,SEGUNDO AÑO,11420,"INSTITUTO NACIONAL ""MAESTRO ALBERTO MASFERRER """,SAN SALVADOR,MEJICANOS,CED_OFI,Urbana,16,22,19,26,24,25,Social,Oficina,Emprendedor,Científico,Artístico,Realista,Social-Oficina,Servicios Sociales,"Soporte administrativo, trabajo de oficina",Cuerpos de Seguridad y servicios de protección,Humanidades y Ciencias Sociales,B
5451442,Hombre,MANTENIMIENTO AUTOMOTRIZ,SEGUNDO AÑO,11543,INSTITUTO  NACIONAL TECNICO INDUSTRIAL,SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,27,20,22,30,23,21,Social,Realista,Emprendedor,Artístico,Oficina,Científico,Social-Realista,Servicios Sociales,Oficio ,Educación y Cultura,---,C
1357554,Hombre,---,SEGUNDO AÑO,11661,"COMPLEJO EDUCATIVO ""REPÚBLICA DEL BRASIL""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,18,30,23,19,19,19,Científico,Artístico,Social,Emprendedor,Oficina,Realista,Científico-Artístico,Ciencia de Naturaleza y Matemáticas,Técnicos Tecnológicos,Artísticos,Ciencia de Salud,A
2936316,Mujer,---,SEGUNDO AÑO,11667,"COMPLEJO EDUCATIVO ""JOAQUIN RODEZNO""",SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,15,10,17,16,12,16,Artístico,Social,Oficina,Realista,Emprendedor,Científico,Artístico-Social,Artísticos,Educación y Cultura,Humanidades y Ciencias Sociales,Servicios Sociales,B
2059979,Mujer,---,SEGUNDO AÑO,11542,INSTITUTO NACIONAL DE COMERCIO,SAN SALVADOR,SAN SALVADOR,CED_OFI,Urbana,12,8,16,16,14,14,Artístico,Social,Emprendedor,Oficina,Realista,Científico,Artístico-Social,Artísticos,Educación y Cultura,Humanidades y Ciencias Sociales,Servicios Sociales,B
3560534,Mujer,---,SEGUNDO AÑO,11395,INSTITUTO NACIONAL DE SAN BARTOLO,SAN SALVADOR,ILOPANGO,CED_OFI,Rural,5,19,16,16,25,22,Emprendedor,Oficina,Científico,Artístico,Social,Realista,Emprendedor-Oficina,Comercial,"Soporte administrativo, trabajo de oficina",Servicios Sociales,Educación y Cultura,A
4703937,Mujer,---,SEGUNDO AÑO,10736,"COMPLEJO EDUCATIVO ""DOLORES DE BRITO""",SONSONATE,SONSONATE,CED_OFI,Urbana,12,16,16,16,13,14,Científico,Artístico,Social,Oficina,Emprendedor,Realista,Científico-Artístico,Ciencia de Naturaleza y Matemáticas,Técnicos Tecnológicos,Artísticos,Ciencia de Salud,C
19869150,Mujer,---,SEGUNDO AÑO,11395,INSTITUTO NACIONAL DE SAN BARTOLO,SAN SALVADOR,ILOPANGO,CED_OFI,Rural,34,30,35,34,32,32,Artístico,Realista,Social,Emprendedor,Oficina,Científico,Artístico-Realista,Artísticos,"Agropecuarios, pesca y mineria",Oficio ,Educación Fisica y Deporte,A
19745060,Hombre,---,SEGUNDO AÑO,11506,"COMPLEJO EDUCATIVO ""SAN MARTÍN""",SAN SALVADOR,SAN MARTIN,CED_OFI,Urbana,17,16,17,17,21,23,Oficina,Emprendedor,Realista,Artístico,Social,Científico,Oficina-Emprendedor,"Soporte administrativo, trabajo de oficina",Comercial,Servicios Sociales,Educación y Cultura,B
4958503,Hombre,---,SEGUNDO AÑO,11400,COMPLEJO EDUCATIVO  CANTÓN SAN BARTOLO,SAN SALVADOR,ILOPANGO,CED_OFI,Rural,14,7,5,13,26,14,Emprendedor,Realista,Oficina,Social,Científico,Artístico,Emprendedor-Realista,Comercial,Transporte,"Agropecuarios, pesca y mineria",Oficio ,B
1675056,Hombre,---,SEGUNDO AÑO,11420,"INSTITUTO NACIONAL ""MAESTRO ALBERTO MASFERRER """,SAN SALVADOR,MEJICANOS,CED_OFI,Urbana,10,32,20,22,19,18,Científico,Social,Artístico,Emprendedor,Oficina,Realista,Científico-Social,Ciencia de Salud,Ciencia de Naturaleza y Matemáticas,Humanidades y Ciencias Sociales,Educación y Cultura,B
2587151,Mujer,---,SEGUNDO AÑO,11380,"COMPLEJO EDUCATIVO  ""DELFINA DE DIAZ""",SAN SALVADOR,GUAZAPA,CED_OFI,Urbana,24,33,21,29,21,23,Científico,Social,Realista,Oficina,Artístico,Emprendedor,Científico-Social,Ciencia de Salud,Ciencia de Naturaleza y Matemáticas,Humanidades y Ciencias Sociales,Educación y Cultura,A
